Id,d1 (18-17),d1 (18-17) ABS,negpos1,d2 (19-18),d2 (19-18) ABS,negpos2,d1 (18-17)p,d2 (19-18)p
Pequeri,59.76,59.76,1,786.16,786.16,1,59.76,786.16
Pequi,1204.53,1204.53,1,5074.47,5074.47,1,1204.53,5074.47
Perdigão,-46.01,46.01,0,1593.54,1593.54,1,0,1593.54
Perdizes,18.61,18.61,1,255.94,255.94,1,18.61,255.94
Perdões,-4.89,4.89,0,1714.48,1714.48,1,0,1714.48
Periquito,-56.31,56.31,0,0,0,0,0,0
Pescador,-512.66,512.66,0,94.92,94.92,1,0,94.92
Piau,-34.21,34.21,0,654.78,654.78,1,0,654.78
Piedade de Caratinga,10.31,10.31,1,-49.01,49.01,0,10.31,0
Piedade de Ponte Nova,308.57,308.57,1,343.6,343.6,1,308.57,343.6
Piedade do Rio Grande,0,0,0,44.17,44.17,1,0,44.17
Piedade dos Gerais,-20.3,20.3,0,444,444,1,0,444
Pimenta,-34.92,34.92,0,7230.11,7230.11,1,0,7230.11
Pingo d'Água,-439.23,439.23,0,-41.04,41.04,0,0,0
Pintópolis,-26.53,26.53,0,1281.71,1281.71,1,0,1281.71
Piracema,0,0,0,1074.6,1074.6,1,0,1074.6
Pirajuba,-33.25,33.25,0,3560,3560,1,0,3560
Piranga,16.7,16.7,1,28.95,28.95,1,16.7,28.95
Piranguçu,18.01,18.01,1,-17.94,17.94,0,18.01,0
Piranguinho,0,0,0,81.87,81.87,1,0,81.87
Pirapetinga,18.39,18.39,1,9.57,9.57,1,18.39,9.57
Pirapora,8.61,8.61,1,1434.25,1434.25,1,8.61,1434.25
Piraúba,2166.32,2166.32,1,1563.2,1563.2,1,2166.32,1563.2
Pitangui,35.81,35.81,1,2132.85,2132.85,1,35.81,2132.85
Piuí,139,139,1,432.72,432.72,1,139,432.72
Planura,319.82,319.82,1,2392.09,2392.09,1,319.82,2392.09
Poço Fundo,5.92,5.92,1,0.06,0.06,1,5.92,0.06
Poços de Caldas,1.15,1.15,1,7.22,7.22,1,1.15,7.22
Pocrane,0,0,0,1633.76,1633.76,1,0,1633.76
Pompéu,-75.01,75.01,0,1637.04,1637.04,1,0,1637.04
Ponte Nova,33.13,33.13,1,169.87,169.87,1,33.13,169.87
Ponto Chique,986.15,986.15,1,217.53,217.53,1,986.15,217.53
Ponto dos Volantes,-33.45,33.45,0,0.1,0.1,1,0,0.1
Porteirinha,-1017.68,1017.68,0,144.23,144.23,1,0,144.23
Porto Firme,35.57,35.57,1,26.89,26.89,1,35.57,26.89
Poté,-127.46,127.46,0,-17.98,17.98,0,0,0
Pouso Alegre,-2.19,2.19,0,30.17,30.17,1,0,30.17
Pouso Alto,16.17,16.17,1,17.27,17.27,1,16.17,17.27
Prados,0,0,0,356.39,356.39,1,0,356.39
Prata,-35.46,35.46,0,4667.17,4667.17,1,0,4667.17
Pratápolis,-772.68,772.68,0,1122.43,1122.43,1,0,1122.43
Pratinha,-28.88,28.88,0,-0.03,0.03,0,0,0
Presidente Bernardes,35.96,35.96,1,56.67,56.67,1,35.96,56.67
Presidente Juscelino,-51.61,51.61,0,2584.33,2584.33,1,0,2584.33
Presidente Kubitschek,0,0,0,332.89,332.89,1,0,332.89
Presidente Olegário,61.16,61.16,1,2668.93,2668.93,1,61.16,2668.93
Prudente de Morais,-1.37,1.37,0,931.04,931.04,1,0,931.04
Quartel Geral,27.79,27.79,1,395.49,395.49,1,27.79,395.49
Queluzita,102.15,102.15,1,156.38,156.38,1,102.15,156.38
Raposos,-92.66,92.66,0,196.76,196.76,1,0,196.76
Raul Soares,8.23,8.23,1,126.64,126.64,1,8.23,126.64
Recreio,-271.94,271.94,0,523.6,523.6,1,0,523.6
Reduto,0,0,0,225.19,225.19,1,0,225.19
Resende Costa,0,0,0,69.81,69.81,1,0,69.81
Resplendor,-215.15,215.15,0,93.2,93.2,1,0,93.2
Ressaquinha,0,0,0,0,0,0,0,0
Riachinho,-882.32,882.32,0,4719.05,4719.05,1,0,4719.05
Riacho dos Machados,31.01,31.01,1,243.24,243.24,1,31.01,243.24
Ribeirão das Neves,-91.59,91.59,0,2968.4,2968.4,1,0,2968.4
Ribeirão Vermelho,0,0,0,273.7,273.7,1,0,273.7
Rio Acima,-20.95,20.95,0,1077.81,1077.81,1,0,1077.81
Rio Casca,-13.87,13.87,0,242.33,242.33,1,0,242.33
Rio do Prado,37.72,37.72,1,59.05,59.05,1,37.72,59.05
Rio Doce,-38.46,38.46,0,38.48,38.48,1,0,38.48
Rio Espera,34.33,34.33,1,722.56,722.56,1,34.33,722.56
Rio Manso,69.01,69.01,1,1711.77,1711.77,1,69.01,1711.77
Rio Novo,-199.1,199.1,0,940.37,940.37,1,0,940.37
Rio Paranaíba,-32.39,32.39,0,488.5,488.5,1,0,488.5
Rio Pardo de Minas,3.16,3.16,1,55.31,55.31,1,3.16,55.31
Rio Piracicaba,6.84,6.84,1,369.57,369.57,1,6.84,369.57
Rio Pomba,-23.32,23.32,0,1838.41,1838.41,1,0,1838.41
Rio Preto,0,0,0,18.29,18.29,1,0,18.29
Rio Vermelho,-7.35,7.35,0,933.86,933.86,1,0,933.86
Ritápolis,41.37,41.37,1,109.23,109.23,1,41.37,109.23
Rochedo de Minas,87.22,87.22,1,568.09,568.09,1,87.22,568.09
Rodeiro,1944.6,1944.6,1,-1223.2,1223.2,0,1944.6,0
Romaria,54.99,54.99,1,3357.2,3357.2,1,54.99,3357.2
Rosário da Limeira,-22.37,22.37,0,21.97,21.97,1,0,21.97
Rubelita,29.46,29.46,1,567.51,567.51,1,29.46,567.51
Rubim,-29.04,29.04,0,19.56,19.56,1,0,19.56
Sabará,-92.2,92.2,0,3020.7,3020.7,1,0,3020.7
Sabinópolis,6.28,6.28,1,77.46,77.46,1,6.28,77.46
Sacramento,191.55,191.55,1,942.79,942.79,1,191.55,942.79
Salinas,-0.06,0.06,0,1189.93,1189.93,1,0,1189.93
Salto da Divisa,-239.32,239.32,0,-42.09,42.09,0,0,0
Santa Bárbara,-0.39,0.39,0,32.37,32.37,1,0,32.37
Santa Bárbara do Leste,-37.01,37.01,0,24.65,24.65,1,0,24.65
Santa Bárbara do Monte Verde,0,0,0,32.08,32.08,1,0,32.08
Santa Bárbara do Tugúrio,0,0,0,0,0,0,0,0
Santa Cruz de Minas,11.04,11.04,1,327.87,327.87,1,11.04,327.87
Santa Cruz de Salinas,0,0,0,670.34,670.34,1,0,670.34
Santa Cruz do Escalvado,0,0,0,83.46,83.46,1,0,83.46
Santa Efigênia de Minas,-21.47,21.47,0,45.8,45.8,1,0,45.8
Santa Fé de Minas,-74.53,74.53,0,4243.65,4243.65,1,0,4243.65
Santa Helena de Minas,108.97,108.97,1,-45.85,45.85,0,108.97,0
Santa Juliana,297.68,297.68,1,573.23,573.23,1,297.68,573.23
Santa Luzia,-7.98,7.98,0,1158.56,1158.56,1,0,1158.56
Santa Margarida,-12.51,12.51,0,6.21,6.21,1,0,6.21
Santa Maria de Itabira,9.09,9.09,1,-9.09,9.09,0,9.09,0
Santa Maria do Salto,0.04,0.04,1,-18.58,18.58,0,0.04,0
Santa Maria do Suaçuí,-20.18,20.18,0,444.6,444.6,1,0,444.6
Santa Rita de Caldas,0,0,0,22.29,22.29,1,0,22.29
Santa Rita de Jacutinga,0,0,0,20.39,20.39,1,0,20.39
Santa Rita de Minas,0,0,0,13.98,13.98,1,0,13.98
Santa Rita do Ibitipoca,84.13,84.13,1,-84.13,84.13,0,84.13,0
Santa Rita do Itueto,-139.4,139.4,0,54.33,54.33,1,0,54.33
Santa Rita do Sapucaí,-2.47,2.47,0,88.87,88.87,1,0,88.87
Santa Rosa da Serra,-118.76,118.76,0,119.65,119.65,1,0,119.65
Santa Vitória,215.16,215.16,1,561.96,561.96,1,215.16,561.96
Santana da Vargem,82.1,82.1,1,129.61,129.61,1,82.1,129.61
Santana de Cataguases,-52.41,52.41,0,26.11,26.11,1,0,26.11
Santana de Pirapama,-62.25,62.25,0,792.62,792.62,1,0,792.62
Santana do Deserto,0,0,0,176.28,176.28,1,0,176.28
Santana do Garambéu,0,0,0,0,0,0,0,0
Santana do Jacaré,61.72,61.72,1,0.69,0.69,1,61.72,0.69
Santana do Manhuaçu,-11.31,11.31,0,11.52,11.52,1,0,11.52
Santana do Paraíso,1222.4,1222.4,1,-1305.39,1305.39,0,1222.4,0
Santana do Riacho,-71.63,71.63,0,1755.53,1755.53,1,0,1755.53
Santana dos Montes,25.73,25.73,1,159.02,159.02,1,25.73,159.02
Santo Antônio do Amparo,5.39,5.39,1,531.66,531.66,1,5.39,531.66
Santo Antônio do Aventureiro,0,0,0,55.52,55.52,1,0,55.52
Santo Antônio do Grama,0,0,0,457.2,457.2,1,0,457.2
Santo Antônio do Itambé,-24.43,24.43,0,670.62,670.62,1,0,670.62
Santo Antônio do Jacinto,-174.82,174.82,0,9.21,9.21,1,0,9.21
Santo Antônio do Monte,10.49,10.49,1,741.48,741.48,1,10.49,741.48
Santo Antônio do Retiro,0,0,0,454.8,454.8,1,0,454.8
Santo Antônio do Rio Abaixo,55.16,55.16,1,-55.16,55.16,0,55.16,0
Santo Hipólito,-122.96,122.96,0,1544.99,1544.99,1,0,1544.99
Santos Dumont,-2.11,2.11,0,25.82,25.82,1,0,25.82
São Bento Abade,-277.61,277.61,0,0,0,0,0,0
São Brás do Suaçuí,79.81,79.81,1,323.24,323.24,1,79.81,323.24
São Domingos das Dores,0,0,0,0,0,0,0,0
São Domingos do Prata,16.87,16.87,1,265.11,265.11,1,16.87,265.11
São Félix de Minas,28.95,28.95,1,-28.23,28.23,0,28.95,0
São Francisco,-294.62,294.62,0,1377.04,1377.04,1,0,1377.04
São Francisco de Paula,0,0,0,153.02,153.02,1,0,153.02
São Francisco de Sales,-17.03,17.03,0,2629.28,2629.28,1,0,2629.28
São Francisco do Glória,-38.87,38.87,0,81.82,81.82,1,0,81.82
São Geraldo,1072.92,1072.92,1,-789.06,789.06,0,1072.92,0
São Geraldo da Piedade,0,0,0,0,0,0,0,0
São Geraldo do Baixio,-52.16,52.16,0,0,0,0,0,0
São Gonçalo do Abaeté,-46.01,46.01,0,1285.2,1285.2,1,0,1285.2
São Gonçalo do Pará,-259.32,259.32,0,3632.71,3632.71,1,0,3632.71
São Gonçalo do Rio Abaixo,-28.5,28.5,0,452.91,452.91,1,0,452.91
São Gonçalo do Rio Preto,0,0,0,759.25,759.25,1,0,759.25
São Gonçalo do Sapucaí,-39.8,39.8,0,83.07,83.07,1,0,83.07
São Gotardo,-14.57,14.57,0,813.76,813.76,1,0,813.76
São João Batista do Glória,13.29,13.29,1,1066.65,1066.65,1,13.29,1066.65
São João da Lagoa,60.04,60.04,1,1839.57,1839.57,1,60.04,1839.57
São João da Mata,0,0,0,0,0,0,0,0
São João da Ponte,108.46,108.46,1,1447.2,1447.2,1,108.46,1447.2
São João das Missões,450.94,450.94,1,510.37,510.37,1,450.94,510.37
São João del Rei,15.15,15.15,1,577.02,577.02,1,15.15,577.02
São João do Manhuaçu,0,0,0,43.71,43.71,1,0,43.71
São João do Manteninha,-35.4,35.4,0,431.18,431.18,1,0,431.18
São João do Oriente,-25.02,25.02,0,-11.89,11.89,0,0,0
São João do Pacuí,250.23,250.23,1,729.49,729.49,1,250.23,729.49
São João do Paraíso,12.64,12.64,1,106.39,106.39,1,12.64,106.39
São João Evangelista,-6.23,6.23,0,500.6,500.6,1,0,500.6
São João Nepomuceno,-72.58,72.58,0,6570.31,6570.31,1,0,6570.31
São Joaquim de Bicas,-72.7,72.7,0,4549.47,4549.47,1,0,4549.47
São José da Barra,-123.8,123.8,0,501.97,501.97,1,0,501.97
São José da Lapa,65.09,65.09,1,1956.92,1956.92,1,65.09,1956.92
São José da Safira,-514.9,514.9,0,1762.89,1762.89,1,0,1762.89
São José da Varginha,165.49,165.49,1,585.47,585.47,1,165.49,585.47
São José do Alegre,0,0,0,23.91,23.91,1,0,23.91
São José do Divino,-101.42,101.42,0,232.86,232.86,1,0,232.86
São José do Goiabal,17.75,17.75,1,1540.74,1540.74,1,17.75,1540.74
São José do Jacuri,0,0,0,231.59,231.59,1,0,231.59
São José do Mantimento,0,0,0,0,0,0,0,0
São Lourenço,2.17,2.17,1,15.39,15.39,1,2.17,15.39
São Miguel do Anta,0,0,0,100.97,100.97,1,0,100.97
São Pedro da União,40.72,40.72,1,214.11,214.11,1,40.72,214.11
São Pedro do Suaçuí,0,0,0,548.1,548.1,1,0,548.1
São Pedro dos Ferros,-11.92,11.92,0,191.39,191.39,1,0,191.39
São Romão,-35.61,35.61,0,1753.99,1753.99,1,0,1753.99
São Roque de Minas,56.17,56.17,1,-56.13,56.13,0,56.17,0
São Sebastião da Bela Vista,0,0,0,0,0,0,0,0
São Sebastião da Vargem Alegre,66.53,66.53,1,-33.1,33.1,0,66.53,0
São Sebastião do Anta,46.74,46.74,1,586.07,586.07,1,46.74,586.07
São Sebastião do Maranhão,19.03,19.03,1,30.33,30.33,1,19.03,30.33
São Sebastião do Oeste,-0.75,0.75,0,478.33,478.33,1,0,478.33
São Sebastião do Paraíso,24.99,24.99,1,2384.75,2384.75,1,24.99,2384.75
São Sebastião do Rio Preto,0,0,0,0,0,0,0,0
São Sebastião do Rio Verde,-0.42,0.42,0,-44.46,44.46,0,0,0
São Tiago,-28.17,28.17,0,220.12,220.12,1,0,220.12
São Tomás de Aquino,13.12,13.12,1,3039.97,3039.97,1,13.12,3039.97
São Tomé das Letras,14.07,14.07,1,14.27,14.27,1,14.07,14.27
São Vicente de Minas,0,0,0,52.04,52.04,1,0,52.04
Sapucaí-Mirim,28.96,28.96,1,-43.8,43.8,0,28.96,0
Sardoá,-16.75,16.75,0,-0.09,0.09,0,0,0
Sarzedo,-61.71,61.71,0,5402.73,5402.73,1,0,5402.73
Sem-Peixe,36.02,36.02,1,-36.02,36.02,0,36.02,0
Senador Amaral,-0.06,0.06,0,-18.39,18.39,0,0,0
Senador Cortes,48.8,48.8,1,1445.97,1445.97,1,48.8,1445.97
Senador Firmino,152.77,152.77,1,-102.11,102.11,0,152.77,0
Senador José Bento,0,0,0,0,0,0,0,0
Senador Modestino Gonçalves,0,0,0,118.79,118.79,1,0,118.79
Senhora de Oliveira,33.94,33.94,1,35.19,35.19,1,33.94,35.19
Senhora do Porto,27.76,27.76,1,-27.76,27.76,0,27.76,0
Senhora dos Remédios,-9.45,9.45,0,57.41,57.41,1,0,57.41
Sericita,0,0,0,109.3,109.3,1,0,109.3
Seritinga,-0.26,0.26,0,-53.36,53.36,0,0,0
Serra Azul de Minas,0,0,0,23.29,23.29,1,0,23.29
Serra da Saudade,3.61,3.61,1,-492.61,492.61,0,3.61,0
Serra do Salitre,8.32,8.32,1,548.15,548.15,1,8.32,548.15
Serra dos Aimorés,-102.99,102.99,0,-68.11,68.11,0,0,0
Serrania,-13.01,13.01,0,-76.57,76.57,0,0,0
Serranópolis de Minas,41.44,41.44,1,21.34,21.34,1,41.44,21.34
Serranos,0,0,0,0,0,0,0,0
Serro,-4.67,4.67,0,219.32,219.32,1,0,219.32
Sete Lagoas,1.44,1.44,1,1572.3,1572.3,1,1.44,1572.3
Setubinha,-684.61,684.61,0,98.8,98.8,1,0,98.8
Silveirânia,-87.64,87.64,0,88.57,88.57,1,0,88.57
Silvianópolis,15.84,15.84,1,-15.84,15.84,0,15.84,0
Simão Pereira,0,0,0,0,0,0,0,0
Simonésia,5.09,5.09,1,15.39,15.39,1,5.09,15.39
Sobrália,0.15,0.15,1,18.48,18.48,1,0.15,18.48
Soledade de Minas,-49.55,49.55,0,16.36,16.36,1,0,16.36
Tabuleiro,-98.75,98.75,0,4854.59,4854.59,1,0,4854.59
Taiobeiras,-12.14,12.14,0,310.11,310.11,1,0,310.11
Taparuba,62.65,62.65,1,1573.33,1573.33,1,62.65,1573.33
Tapira,-22.02,22.02,0,21.23,21.23,1,0,21.23
Tapiraí,0,0,0,0,0,0,0,0
Taquaraçu de Minas,-49.63,49.63,0,2145.5,2145.5,1,0,2145.5
Tarumirim,-224.9,224.9,0,-26.82,26.82,0,0,0
Teixeiras,-8.51,8.51,0,34.47,34.47,1,0,34.47
Teófilo Otoni,-913.59,913.59,0,-1.34,1.34,0,0,0
Timóteo,453.2,453.2,1,-525.38,525.38,0,453.2,0
Tiradentes,-39.27,39.27,0,2371.29,2371.29,1,0,2371.29
Tiros,-29.11,29.11,0,152.93,152.93,1,0,152.93
Tocantins,786.34,786.34,1,1430.53,1430.53,1,786.34,1430.53
Tocos do Moji,-24.25,24.25,0,0,0,0,0,0
Toledo,-32.5,32.5,0,16.08,16.08,1,0,16.08
Tombos,11.4,11.4,1,159.31,159.31,1,11.4,159.31
Três Corações,-1301.39,1301.39,0,45.63,45.63,1,0,45.63
Três Marias,282.35,282.35,1,2879.33,2879.33,1,282.35,2879.33
Três Pontas,-343,343,0,2688.75,2688.75,1,0,2688.75
Tumiritinga,-286.3,286.3,0,-43.97,43.97,0,0,0
Tupaciguara,-51.88,51.88,0,131.7,131.7,1,0,131.7
Turmalina,-2699.24,2699.24,0,681.86,681.86,1,0,681.86
Turvolândia,0,0,0,59.9,59.9,1,0,59.9
Ubá,1367.35,1367.35,1,-1283.68,1283.68,0,1367.35,0
Ubaí,31.92,31.92,1,4516.45,4516.45,1,31.92,4516.45
Ubaporanga,31.65,31.65,1,-15.51,15.51,0,31.65,0
Uberaba,54.8,54.8,1,1431.3,1431.3,1,54.8,1431.3
Uberlândia,1.37,1.37,1,5273.1,5273.1,1,1.37,5273.1
Umburatiba,-73.34,73.34,0,76.16,76.16,1,0,76.16
Unaí,451.52,451.52,1,3282.77,3282.77,1,451.52,3282.77
União de Minas,67.39,67.39,1,764.98,764.98,1,67.39,764.98
Uruana de Minas,-239.84,239.84,0,1378.71,1378.71,1,0,1378.71
Urucânia,9.44,9.44,1,97.02,97.02,1,9.44,97.02
Urucuia,12.21,12.21,1,1854.81,1854.81,1,12.21,1854.81
Vargem Alegre,-105.49,105.49,0,-28.85,28.85,0,0,0
Vargem Bonita,0,0,0,370.71,370.71,1,0,370.71
Vargem Grande do Rio Pardo,0,0,0,60.16,60.16,1,0,60.16
Varginha,-273.94,273.94,0,25.26,25.26,1,0,25.26
Varjão de Minas,-15.58,15.58,0,932.88,932.88,1,0,932.88
Várzea da Palma,2.01,2.01,1,3614.69,3614.69,1,2.01,3614.69
Varzelândia,-2461.89,2461.89,0,2429.62,2429.62,1,0,2429.62
Vazante,192.33,192.33,1,3303.91,3303.91,1,192.33,3303.91
Verdelândia,249.07,249.07,1,-98.46,98.46,0,249.07,0
Veredinha,0,0,0,17.51,17.51,1,0,17.51
Veríssimo,50.57,50.57,1,5947.08,5947.08,1,50.57,5947.08
Vermelho Novo,0,0,0,0,0,0,0,0
Vespasiano,-3.85,3.85,0,1606.01,1606.01,1,0,1606.01
Viçosa,7.5,7.5,1,513.52,513.52,1,7.5,513.52
Vieiras,0,0,0,27.56,27.56,1,0,27.56
Virgem da Lapa,-0.01,0.01,0,72.8,72.8,1,0,72.8
Virgínia,0,0,0,0,0,0,0,0
Virginópolis,0,0,0,9.49,9.49,1,0,9.49
Virgolândia,17.97,17.97,1,259.57,259.57,1,17.97,259.57
Visconde do Rio Branco,1617.2,1617.2,1,-939.65,939.65,0,1617.2,0
Volta Grande,0,0,0,324.24,324.24,1,0,324.24
Wenceslau Braz,0,0,0,39.09,39.09,1,0,39.09