Id,Incidência-2017,Incidência - 2018,Incidência - 2019,,d1 (18-17),negpos1,d2 (19-18),negpos2,
Abadia dos Dourados,42.77,56.67,917.96,,13.9,1,861.29,1,13.9
Abaeté,17,12.71,1735.35,,-4.29,0,1722.64,1,FALSE
Abre Campo,0,7.28,126.25,,7.28,1,118.97,1,
Acaiaca,0,73.8,0,,73.8,1,-73.8,0,
Açucena,108.48,170.05,20.89,,61.57,1,-149.16,0,
Água Boa,13.62,13.92,772.06,,0.3,1,758.14,1,
Água Comprida,193.8,242.95,2094.76,,49.15,1,1851.81,1,
Aguanil,45.77,67.57,22.48,,21.8,1,-45.09,0,
Águas Formosas,93.23,10.3,260.88,,-82.93,0,250.58,1,
Águas Vermelhas,215.66,22.1,89.04,,-193.56,0,66.94,1,
Aimorés,217.95,54.45,519.99,,-163.5,0,465.54,1,
Aiuruoca,0,0,0,,0,0,0,0,
Alagoa,0,0,74.54,,0,0,74.54,1,
Albertina,32.97,0,66.6,,-32.97,0,66.6,1,
Além Paraíba,2.8,25.09,42.47,,22.29,1,17.38,1,
Alfenas,66.06,169.37,710.86,,103.31,1,541.49,1,
Alfredo Vasconcelos,0,14.76,29.28,,14.76,1,14.52,1,
Almenara,363.23,4.79,7.2,,-358.44,0,2.41,1,
Alpercata,294.2,0,53.97,,-294.2,0,53.97,1,
Alpinópolis,5.09,10.08,855.91,,4.99,1,845.83,1,
Alterosa,90.07,27.49,41.63,,-62.58,0,14.14,1,
Alto Caparaó,0,0,0,,0,0,0,0,
Alto Jequitibá,0,0,0,,0,0,0,0,
Alto Rio Doce,0,8.55,0,,8.55,1,-8.55,0,
Alvarenga,69.9,333.41,5109.49,,263.51,1,4776.08,1,
Alvinópolis,51.22,96.16,1883.33,,44.94,1,1787.17,1,
Alvorada de Minas,0,0,83.19,,0,0,83.19,1,
Amparo do Serra,0,20.31,42.1,,20.31,1,21.79,1,
Andradas,4.99,14.74,66.26,,9.75,1,51.52,1,
Andrelândia,8,0,24.51,,-8,0,24.51,1,
Angelândia,11.82,0,624.93,,-11.82,0,624.93,1,
Antônio Carlos,8.65,0,17.49,,-8.65,0,17.49,1,
Antônio Dias,20.65,342.43,96.12,,321.78,1,-246.31,0,
Antônio Prado de Minas,0,0,186.45,,0,0,186.45,1,
Araçaí,0,42.23,469.88,,42.23,1,427.65,1,
Aracitaba,0,47.37,0,,47.37,1,-47.37,0,
Araçuaí,335.39,104.39,351.45,,-231,0,247.06,1,
Araguari,26.66,45.13,1892.18,,18.47,1,1847.05,1,
Arantina,0,0,0,,0,0,0,0,
Araponga,0,0,47.48,,0,0,47.48,1,
Araporã,375.54,693.83,837.74,,318.29,1,143.91,1,
Arapuá,0,34.69,1411.93,,34.69,1,1377.24,1,
Araújos,68.43,644.73,1104.79,,576.3,1,460.06,1,
Araxá,25.43,79.59,766.06,,54.16,1,686.47,1,
Arceburgo,19.28,66.18,1088.49,,46.9,1,1022.31,1,
Arcos,7.64,1067.54,8152.19,,1059.9,1,7084.65,1,
Areado,20.35,13.37,200.6,,-6.98,0,187.23,1,
Argirita,34.6,0,72.7,,-34.6,0,72.7,1,
Aricanduva,39.08,0,96.32,,-39.08,0,96.32,1,
Arinos,241.48,104.15,654.07,,-137.33,0,549.92,1,
Astolfo Dutra,14.35,155.83,85.2,,141.48,1,-70.63,0,
Ataléia,128.21,7.27,38.27,,-120.94,0,31,1,
Augusto de Lima,19.84,39.82,3866.61,,19.98,1,3826.79,1,
Baependi,20.85,5.18,31.42,,-15.67,0,26.24,1,
Baldim,24.78,12.42,764.23,,-12.36,0,751.81,1,
Bambuí,37.74,49.96,1582.69,,12.22,1,1532.73,1,
Bandeira,99.62,0,0,,-99.62,0,0,0,
Bandeira do Sul,17.62,0,17.5,,-17.62,0,17.5,1,
Barão de Cocais,15.99,6.26,962.28,,-9.73,0,956.02,1,
Barão de Monte Alto,17.53,17.71,183.72,,0.18,1,166.01,1,
Barbacena,14.82,15.36,22,,0.54,1,6.64,1,
Barra Longa,0,17.78,19.05,,17.78,1,1.27,1,
Barroso,9.67,28.73,159.27,,19.06,1,130.54,1,
Bela Vista de Minas,0,0,761.12,,0,0,761.12,1,
Belmiro Braga,0,28.55,203.9,,28.55,1,175.35,1,
Belo Horizonte,69.45,41.25,2942.43,,-28.2,0,2901.18,1,
Belo Oriente,93.68,1093.36,238.67,,999.68,1,-854.69,0,
Belo Vale,12.79,204.06,1063.55,,191.27,1,859.49,1,
Berilo,8.04,8.09,208.42,,0.05,1,200.33,1,
Berizal,0,0,0,,0,0,0,0,
Bertópolis,0,0,152.11,,0,0,152.11,1,
Betim,179.24,34.18,6894.3,,-145.06,0,6860.12,1,
Bias Fortes,0,0,0,,0,0,0,0,
Bicas,0,20.63,679.09,,20.63,1,658.46,1,
Biquinhas,113.64,76.37,78.99,,-37.27,0,2.62,1,
Boa Esperança,29.79,9.87,884.31,,-19.92,0,874.44,1,
Bocaina de Minas,0,0,0,,0,0,0,0,
Bocaiúva,191.53,900.97,2272.64,,709.44,1,1371.67,1,
Bom Despacho,121.86,29.97,119.6,,-91.89,0,89.63,1,
Bom Jardim de Minas,45.09,0,0,,-45.09,0,0,0,
Bom Jesus da Penha,48.19,47.59,167.06,,-0.6,0,119.47,1,
Bom Jesus do Amparo,0,116.32,3697.56,,116.32,1,3581.24,1,
Bom Jesus do Galho,32.17,64.69,186.54,,32.52,1,121.85,1,
Bom Repouso,0,0,0,,0,0,0,0,
Bom Sucesso,5.6,106.1,28.41,,100.5,1,-77.69,0,
Bonfim,285.06,213.68,683.54,,-71.38,0,469.86,1,
Bonfinópolis de Minas,17.15,0,252.53,,-17.15,0,252.53,1,
Bonito de Minas,9.37,0,1677.49,,-9.37,0,1677.49,1,
Borda da Mata,5.35,5.25,36.45,,-0.1,0,31.2,1,
Botelhos,13.05,13.05,13.34,,0,0,0.29,1,
Botumirim,15.21,107.03,629.92,,91.82,1,522.89,1,
Brás Pires,43.44,43.96,205.76,,0.52,1,161.8,1,
Brasilândia de Minas,31.79,93.14,741.38,,61.35,1,648.24,1,
Brasília de Minas,1716.62,9.17,2217.54,,-1707.45,0,2208.37,1,
Brasópolis,20.09,0,13.79,,-20.09,0,13.79,1,
Braúnas,39.64,59.96,20.68,,20.32,1,-39.28,0,
Brumadinho,79.25,38.6,708.5,,-40.65,0,669.9,1,
Bueno Brandão,0,0,9.08,,0,0,9.08,1,
Buenópolis,18.89,84.95,1830.97,,66.06,1,1746.02,1,
Bugre,96.76,48.24,98.18,,-48.52,0,49.94,1,
Buritis,53.39,0,4156.02,,-53.39,0,4156.02,1,
Buritizeiro,113.62,35.29,1786.48,,-78.33,0,1751.19,1,
Cabeceira Grande,87.45,86.46,2084.24,,-0.99,0,1997.78,1,
Cabo Verde,13.99,0,21.31,,-13.99,0,21.31,1,
Cachoeira da Prata,80.62,26.95,884.96,,-53.67,0,858.01,1,
Cachoeira de Minas,8.65,0,43.43,,-8.65,0,43.43,1,
Cachoeira de Pajeú,53.13,0,21.32,,-53.13,0,21.32,1,
Cachoeira Dourada,789.18,445.93,1195.37,,-343.25,0,749.44,1,
Caetanópolis,743.06,175.45,635.06,,-567.61,0,459.61,1,
Caeté,16,33.8,1602.18,,17.8,1,1568.38,1,
Caiana,18.68,0,0,,-18.68,0,0,0,
Cajuri,24.27,0,99.95,,-24.27,0,99.95,1,
Caldas,6.95,6.88,0,,-0.07,0,-6.88,0,
Camacho,0,0,102.25,,0,0,102.25,1,
Camanducaia,4.55,0,4.6,,-4.55,0,4.6,1,
Cambuí,6.98,0,3.42,,-6.98,0,3.42,1,
Cambuquira,53.74,22.98,7.8,,-30.76,0,-15.18,0,
Campanário,1500.13,319.4,350.31,,-1180.73,0,30.91,1,
Campanha,60.86,96.23,36.22,,35.37,1,-60.01,0,
Campestre,0,4.66,9.5,,4.66,1,4.84,1,
Campina Verde,39.96,353.6,1160.2,,313.64,1,806.6,1,
Campo Azul,520.43,181.21,2887.14,,-339.22,0,2705.93,1,
Campo Belo,16.64,18.36,686.89,,1.72,1,668.53,1,
Campo do Meio,25.3,16.84,343.11,,-8.46,0,326.27,1,
Campo Florido,91.21,76.08,1295.3,,-15.13,0,1219.22,1,
Campos Altos,19.76,773.38,273.51,,753.62,1,-499.87,0,
Campos Gerais,3.46,0,1309.97,,-3.46,0,1309.97,1,
Cana Verde,52.29,17.44,124.73,,-34.85,0,107.29,1,
Canaã,0,21.28,0,,21.28,1,-21.28,0,
Canápolis,499.79,709.75,2162.16,,209.96,1,1452.41,1,
Candeias,6.62,52.82,1767.12,,46.2,1,1714.3,1,
Cantagalo,22.4,0,867.05,,-22.4,0,867.05,1,
Caparaó,0,0,55.31,,0,0,55.31,1,
Capela Nova,0,0,42.8,,0,0,42.8,1,
Capelinha,34.82,5.28,124.15,,-29.54,0,118.87,1,
Capetinga,27.84,0,1323.36,,-27.84,0,1323.36,1,
Capim Branco,31.46,20.67,3988.02,,-10.79,0,3967.35,1,
Capinópolis,242.06,769.23,2216.15,,527.17,1,1446.92,1,
Capitão Andrade,0,18.5,36.9,,18.5,1,18.4,1,
Capitão Enéas,26.54,131.26,897.51,,104.72,1,766.25,1,
Capitólio,69.67,0,953.38,,-69.67,0,953.38,1,
Caputira,0,0,75.37,,0,0,75.37,1,
Caraí,33.94,8.41,33.92,,-25.53,0,25.51,1,
Caranaíba,0,60.62,62.5,,60.62,1,1.88,1,
Carandaí,15.97,27.59,122.4,,11.62,1,94.81,1,
Carangola,11.95,8.94,333.45,,-3.01,0,324.51,1,
Caratinga,50.67,15.24,25.14,,-35.43,0,9.9,1,
Carbonita,0,0,223.5,,0,0,223.5,1,
Careaçu,0,0,282.7,,0,0,282.7,1,
Carlos Chagas,175.25,35.44,57.87,,-139.81,0,22.43,1,
Carmésia,0,38.04,76.42,,38.04,1,38.38,1,
Carmo da Cachoeira,48.77,24.29,0,,-24.48,0,-24.29,0,
Carmo da Mata,26.14,17.3,113.65,,-8.84,0,96.35,1,
Carmo de Minas,0,0,6.77,,0,0,6.77,1,
Carmo do Cajuru,64.41,22.59,1051.35,,-41.82,0,1028.76,1,
Carmo do Paranaíba,12.99,9.72,567.21,,-3.27,0,557.49,1,
Carmo do Rio Claro,9.37,13.98,821.53,,4.61,1,807.55,1,
Carmópolis de Minas,48.34,31.59,2110.32,,-16.75,0,2078.73,1,
Carneirinho,190.29,29.79,590.83,,-160.5,0,561.04,1,
Carrancas,0,0,123.64,,0,0,123.64,1,
Carvalhópolis,0,0,56.18,,0,0,56.18,1,
Carvalhos,0,0,22.25,,0,0,22.25,1,
Casa Grande,86.66,43.31,0,,-43.35,0,-43.31,0,
Cascalho Rico,0,65.13,490.68,,65.13,1,425.55,1,
Cássia,0,11.08,941.43,,11.08,1,930.35,1,
Cataguases,36.4,29.32,117.82,,-7.08,0,88.5,1,
Catas Altas,38.24,18.81,93.81,,-19.43,0,75,1,
Catas Altas da Noruega,0,27.28,220.45,,27.28,1,193.17,1,
Catuji,29.93,15.12,0,,-14.81,0,-15.12,0,
Catuti,270.58,873.62,2036.74,,603.04,1,1163.12,1,
Caxambu,31.49,22.51,115.19,,-8.98,0,92.68,1,
Cedro do Abaeté,0,82.71,768.57,,82.71,1,685.86,1,
Central de Minas,226.24,28.12,0,,-198.12,0,-28.12,0,
Centralina,414.94,593.11,1755.4,,178.17,1,1162.29,1,
Chácara,230.11,0,1025.31,,-230.11,0,1025.31,1,
Chalé,34.38,0,17.52,,-34.38,0,17.52,1,
Chapada do Norte,0,6.38,6.51,,6.38,1,0.13,1,
Chapada Gaúcha,56.02,61.68,2679.7,,5.66,1,2618.02,1,
Chiador,0,0,0,,0,0,0,0,
Cipotânea,0,0,14.76,,0,0,14.76,1,
Claraval,20.83,0,623.7,,-20.83,0,623.7,1,
Claro dos Poções,12.72,89.53,2305.67,,76.81,1,2216.14,1,
Cláudio,43.12,17.68,313.76,,-25.44,0,296.08,1,
Coimbra,0,26.46,159.64,,26.46,1,133.18,1,
Coluna,21.79,0,561.36,,-21.79,0,561.36,1,
Comendador Gomes,96.28,0,386.72,,-96.28,0,386.72,1,
Comercinho,38.29,0,0,,-38.29,0,0,0,
Conceição da Aparecida,48.53,28.92,68.22,,-19.61,0,39.3,1,
Conceição da Barra de Minas,0,49.38,75.72,,49.38,1,26.34,1,
Conceição das Alagoas,172.96,626.44,1648.13,,453.48,1,1021.69,1,
Conceição das Pedras,0,34.99,71.15,,34.99,1,36.16,1,
Conceição de Ipanema,0,0,0,,0,0,0,0,
Conceição do Mato Dentro,32.97,49.65,2788.96,,16.68,1,2739.31,1,
Conceição do Pará,18.32,90.66,1149.64,,72.34,1,1058.98,1,
Conceição do Rio Verde,0,0,7.36,,0,0,7.36,1,
Conceição dos Ouros,17.76,0,8.68,,-17.76,0,8.68,1,
Cônego Marinho,105.76,39.35,5095.46,,-66.41,0,5056.11,1,
Confins,108.06,60.53,886.29,,-47.53,0,825.76,1,
Congonhal,17.45,0,25.4,,-17.45,0,25.4,1,
Congonhas,24.61,16.72,470.51,,-7.89,0,453.79,1,
Congonhas do Norte,0,0,19.83,,0,0,19.83,1,
Conquista,145.03,201.15,2417.49,,56.12,1,2216.34,1,
Conselheiro Lafaiete,17.54,29.05,330.88,,11.51,1,301.83,1,
Conselheiro Pena,367.31,94.66,152.89,,-272.65,0,58.23,1,
Consolação,0,0,56.12,,0,0,56.12,1,
Contagem,135.64,83.36,3807.33,,-52.28,0,3723.97,1,
Coqueiral,52.85,31.81,108.8,,-21.04,0,76.99,1,
Coração de Jesus,33.37,25.88,2094.61,,-7.49,0,2068.73,1,
Cordisburgo,11.11,11.08,1058.2,,-0.03,0,1047.12,1,
Cordislândia,27.99,27.88,28.3,,-0.11,0,0.42,1,
Corinto,130.98,36.91,3525.65,,-94.07,0,3488.74,1,
Coroaci,67.35,9.67,39.84,,-57.68,0,30.17,1,
Coromandel,24.6,24.55,982.77,,-0.05,0,958.22,1,
Coronel Fabriciano,779.06,2874.21,129.79,,2095.15,1,-2744.42,0,
Coronel Murta,53.19,0,86.69,,-53.19,0,86.69,1,
Coronel Pacheco,0,0,876.62,,0,0,876.62,1,
Coronel Xavier Chaves,86.93,28.81,116.75,,-58.12,0,87.94,1,
Córrego Danta,29.49,59.54,246.84,,30.05,1,187.3,1,
Córrego do Bom Jesus,0,0,26.93,,0,0,26.93,1,
Córrego Fundo,32.22,0,222.58,,-32.22,0,222.58,1,
Córrego Novo,98.94,33.67,0,,-65.27,0,-33.67,0,
Couto de Magalhães de Minas,747.96,0,1387.63,,-747.96,0,1387.63,1,
Crisólita,0,45.24,15.05,,45.24,1,-30.19,0,
Cristais,8.12,0,5315.96,,-8.12,0,5315.96,1,
Cristália,16.64,165.51,335.57,,148.87,1,170.06,1,
Cristiano Otoni,19.22,38.28,194.36,,19.06,1,156.08,1,
Cristina,0,28.62,9.75,,28.62,1,-18.87,0,
Crucilândia,39.89,19.77,757.88,,-20.12,0,738.11,1,
Cruzeiro da Fortaleza,24.15,47.92,991.78,,23.77,1,943.86,1,
Cruzília,19.52,0,13.02,,-19.52,0,13.02,1,
Cuparaque,363.86,880.88,826.61,,517.02,1,-54.27,0,
Curral de Dentro,120.14,13.12,287.36,,-107.02,0,274.24,1,
Curvelo,124.21,17.53,4434.54,,-106.68,0,4417.01,1,
Datas,18.38,36.56,203.74,,18.18,1,167.18,1,
Delfim Moreira,0,12.19,0,,12.19,1,-12.19,0,
Delfinópolis,14,0,803.04,,-14,0,803.04,1,
Delta,10.53,1140.95,3041.49,,1130.42,1,1900.54,1,
Descoberto,19.96,59.44,600.48,,39.48,1,541.04,1,
Desterro de Entre Rios,0,0,248.89,,0,0,248.89,1,
Desterro do Melo,0,0,856.46,,0,0,856.46,1,
Diamantina,379.55,58.06,1413.36,,-321.49,0,1355.3,1,
Diogo de Vasconcelos,0,51.11,26.22,,51.11,1,-24.89,0,
Dionísio,0,0,674.99,,0,0,674.99,1,
Divinésia,29.1,144.72,0,,115.62,1,-144.72,0,
Divino,0,0,75.44,,0,0,75.44,1,
Divino das Laranjeiras,1928.37,0,0,,-1928.37,0,0,0,
Divinolândia de Minas,13.38,0,26.57,,-13.38,0,26.57,1,
Divinópolis,34.22,35.33,1092.48,,1.11,1,1057.15,1,
Divisa Alegre,46.31,0,1223.52,,-46.31,0,1223.52,1,
Divisa Nova,530.59,329.6,100.07,,-200.99,0,-229.53,0,
Divisópolis,0,0,0,,0,0,0,0,
Dom Bosco,52.03,0,2514.19,,-52.03,0,2514.19,1,
Dom Cavati,18.96,57.18,19.62,,38.22,1,-37.56,0,
Dom Joaquim,0,0,44.62,,0,0,44.62,1,
Dom Silvério,0,0,362.39,,0,0,362.39,1,
Dom Viçoso,0,0,0,,0,0,0,0,
Dona Euzébia,46.62,61.28,61.32,,14.66,1,0.04,1,
Dores de Campos,20.09,0,624.94,,-20.09,0,624.94,1,
Dores de Guanhães,37.54,0,0,,-37.54,0,0,0,
Dores do Indaiá,85.82,495.58,472.64,,409.76,1,-22.94,0,
Dores do Turvo,0,90.15,69.95,,90.15,1,-20.2,0,
Doresópolis,65.83,65.23,460.22,,-0.6,0,394.99,1,
Douradoquara,208.33,0,1259.84,,-208.33,0,1259.84,1,
Durandé,0,0,25.6,,0,0,25.6,1,
Elói Mendes,341.06,3.61,115.01,,-337.45,0,111.4,1,
Engenheiro Caldas,456.12,27.03,45.19,,-429.09,0,18.16,1,
Engenheiro Navarro,0,0,1822.2,,0,0,1822.2,1,
Entre Folhas,18.57,36.74,2144.72,,18.17,1,2107.98,1,
Entre Rios de Minas,0,19.62,262.92,,19.62,1,243.3,1,
Ervália,5.3,10.52,10.62,,5.22,1,0.1,1,
Esmeraldas,202.36,79.7,1695.16,,-122.66,0,1615.46,1,
Espera Feliz,0,16.13,56.51,,16.13,1,40.38,1,
Espinosa,3.11,37.25,1258.54,,34.14,1,1221.29,1,
Espírito Santo do Dourado,21.41,0,42.8,,-21.41,0,42.8,1,
Estiva,0,0,0,,0,0,0,0,
Estrela Dalva,0,0,0,,0,0,0,0,
Estrela do Indaiá,973.3,1476.32,2109.46,,503.02,1,633.14,1,
Estrela do Sul,0,87.71,781.25,,87.71,1,693.54,1,
Eugenópolis,44.77,53.17,793.37,,8.4,1,740.2,1,
Ewbank da Câmara,0,0,128.07,,0,0,128.07,1,
Extrema,9.07,2.91,11.28,,-6.16,0,8.37,1,
Fama,247.63,82.44,210.17,,-165.19,0,127.73,1,
Faria Lemos,0,0,30.66,,0,0,30.66,1,
Felício dos Santos,0,0,104.08,,0,0,104.08,1,
Felisburgo,54.51,13.46,40.49,,-41.05,0,27.03,1,
Felixlândia,198.97,111.31,6353.79,,-87.66,0,6242.48,1,
