Id,Label,timeset,incidência-2017,incidência - 2018,incidência - 2019,modularity_class,pageranks
Cristais,Cristais,,8.12,0,5315.96,6,0.000551
Santa Luzia,Santa Luzia,,55.95,47.97,1206.53,0,0.000387
Bom Jesus do Amparo,Bom Jesus do Amparo,,0,116.32,3697.56,0,0.000444
Carmésia,Carmésia,,0,38.04,76.42,0,0.000638
Alvorada de Minas,Alvorada de Minas,,0,0,83.19,0,0.000979
Conceição do Mato Dentro,Conceição do Mato Dentro,,32.97,49.65,2788.96,0,0.001219
Iguatama,Iguatama,,24.41,244.74,5206.37,6,0.002114
Brazópolis,Brazópolis,,0,0,0,4,0.000797
Mário Campos,Mário Campos,,109.41,33.36,7233.51,6,0.00058
Inimutaba,Inimutaba,,81.11,13.35,1352.62,0,0.000921
Frutal,Frutal,,126.31,149.74,2881.52,6,0.00205
Itapagipe,Itapagipe,,771.1,99.73,927.03,6,0.000932
Itamogi,Itamogi,,0,0,68.43,4,0.000793
Lima Duarte,Lima Duarte,,11.88,11.83,719.81,4,0.001625
Santa Bárbara do Monte Verde,Santa Bárbara do Monte Verde,,0,0,32.08,2,0.000495
Itambacuri,Itambacuri,,2124.23,118.46,1167.5,1,0.002583
Medina,Medina,,1766.16,0,19.16,1,0.001494
Caldas,Caldas,,6.95,6.88,0,4,0.000731
Ervália,Ervália,,5.3,10.52,10.62,2,0.000859
Fortaleza de Minas,Fortaleza de Minas,,0,45.38,1618.42,4,0.000256
Cambuquira,Cambuquira,,53.74,22.98,7.8,4,0.002395
Cantagalo,Cantagalo,,22.4,0,867.05,0,0.000734
Cruzeiro da Fortaleza,Cruzeiro da Fortaleza,,24.15,47.92,991.78,6,0.000337
Guimarânia,Guimarânia,,178.78,75.41,2132.73,6,0.000819
Mateus Leme,Mateus Leme,,79.59,42.38,4211.31,6,0.001397
Rio Pomba,Rio Pomba,,172.81,149.49,1987.9,2,0.002918
Silveirânia,Silveirânia,,87.64,0,88.57,2,0.000249
Santo Antônio do Jacinto,Santo Antônio do Jacinto,,199.87,25.05,34.26,1,0.000435
Curvelo,Curvelo,,124.21,17.53,4434.54,5,0.00473
Piraúba,Piraúba,,135.12,2301.44,3864.64,2,0.00195
Itamarandiba,Itamarandiba,,37.95,5.77,162.19,0,0.00232
Caetanópolis,Caetanópolis,,743.06,175.45,635.06,5,0.000541
Jesuânia,Jesuânia,,20.41,0,0,4,0.001155
Ibituruna,Ibituruna,,0,0,0,6,0.000598
Luz,Luz,,21.87,184.78,3857.58,6,0.002978
Olímpio Noronha,Olímpio Noronha,,0,0,0,4,0.001087
Campos Gerais,Campos Gerais,,3.46,0,1309.97,4,0.001422
Coqueiral,Coqueiral,,52.85,31.81,108.8,4,0.000802
Jaboticatubas,Jaboticatubas,,83.98,35.81,2845.2,0,0.000247
Itacambira,Itacambira,,0,0,186.81,5,0.000612
Alpercata,Alpercata,,294.2,0,53.97,1,0.001393
Monsenhor Paulo,Monsenhor Paulo,,1066.3,22.96,23.13,4,0.000337
São Bento Abade,São Bento Abade,,277.61,0,0,4,0.000657
Delfinópolis,Delfinópolis,,14,0,803.04,4,0.000504
Doresópolis,Doresópolis,,65.83,65.23,460.22,4,0.000332
Frei Gaspar,Frei Gaspar,,149.3,16.6,33.95,1,0.000428
Leandro Ferreira,Leandro Ferreira,,30.32,60.61,1391.9,6,0.000812
Rio Paranaíba,Rio Paranaíba,,56.46,24.07,512.57,6,0.001222
Paraguaçu,Paraguaçu,,0,9.27,23.34,4,0.002115
Felixlândia,Felixlândia,,198.97,111.31,6353.79,5,0.001102
Galiléia,Galiléia,,269.08,42.65,29.22,1,0.000963
Guarani,Guarani,,22.19,618.99,3740.31,2,0.001338
Argirita,Argirita,,34.6,0,72.7,2,0.000788
Porto Firme,Porto Firme,,0,35.57,62.46,2,0.001207
Rio Novo,Rio Novo,,254.14,55.04,995.41,2,0.001044
Santa Vitória,Santa Vitória,,283.67,498.83,1060.79,6,0.000425
Mutum,Mutum,,145.49,14.53,88.9,3,0.000773
Indaiabira,Indaiabira,,26.57,13.29,665.49,5,0.000674
São Vicente de Minas,São Vicente de Minas,,0,0,52.04,4,0.001443
Serra Azul de Minas,Serra Azul de Minas,,0,0,23.29,0,0.000767
São João da Mata,São João da Mata,,0,0,0,4,0.000684
São Pedro dos Ferros,São Pedro dos Ferros,,24.14,12.22,203.61,1,0.000904
Serrania,Serrania,,102.62,89.61,13.04,4,0.000492
Aricanduva,Aricanduva,,39.08,0,96.32,0,0.000243
Congonhal,Congonhal,,17.45,0,25.4,4,0.000902
Dores do Indaiá,Dores do Indaiá,,85.82,495.58,472.64,6,0.001304
Quartel Geral,Quartel Geral,,28.44,56.23,451.72,6,0.00062
Glaucilândia,Glaucilândia,,223.64,537.97,2806.12,5,0.000528
Heliodora,Heliodora,,30.81,0,0,4,0.000686
Itueta,Itueta,,16.43,16.34,2500.41,1,0.000979
Santa Rita do Itueto,Santa Rita do Itueto,,139.4,0,54.33,1,0.000331
Montezuma,Montezuma,,0,0,867.97,5,0.000504
Ninheira,Ninheira,,9.71,9.64,9.74,5,0.000264
São João do Paraíso,São João do Paraíso,,0,12.64,119.03,5,0.001162
Ouro Verde de Minas,Ouro Verde de Minas,,97.91,16.37,67.18,1,0.000428
Tumiritinga,Tumiritinga,,419.85,133.55,89.58,1,0.000246
Urucânia,Urucânia,,18.89,28.33,125.35,3,0.000927
Cristina,Cristina,,0,28.62,9.75,4,0.001051
Dom Viçoso,Dom Viçoso,,0,0,0,4,0.000264
Santa Efigênia de Minas,Santa Efigênia de Minas,,43.27,21.8,67.6,0,0.00106
Olhos-d'Água,Olhos-d'Água,,34.44,33.65,631.44,0,0.001254
Joanésia,Joanésia,,136.11,560.45,85.58,0,0.000649
Gurinhatã,Gurinhatã,,826.86,503.44,876.58,6,0.00027
Fortuna de Minas,Fortuna de Minas,,0,68.21,888.28,5,0.000693
Inhaúma,Inhaúma,,97.43,48.08,2552.99,5,0.000979
Monte Carmelo,Monte Carmelo,,233.64,33.16,1298.18,6,0.001716
Campanário,Campanário,,1500.13,319.4,350.31,1,0.002401
Mercês,Mercês,,9.25,9.2,401.12,2,0.001479
Fronteira,Fronteira,,79.27,140.58,2480.09,6,0.000564
Piedade dos Gerais,Piedade dos Gerais,,20.3,0,444,6,0.000813
Presidente Juscelino,Presidente Juscelino,,51.61,0,2584.33,0,0.00132
Presidente Kubitschek,Presidente Kubitschek,,0,0,332.89,0,0.000846
Moeda,Moeda,,60.95,20.17,448.61,6,0.000339
Catas Altas,Catas Altas,,38.24,18.81,93.81,1,0.001055
Berizal,Berizal,,0,0,0,5,0.000265
Joaquim Felício,Joaquim Felício,,43.41,0,1737.45,5,0.001128
Paiva,Paiva,,0,0,0,2,0.00047
Estrela do Sul,Estrela do Sul,,0,87.71,781.25,6,0.001236
Moema,Moema,,26.85,877.08,66.85,6,0.001489
Elói Mendes,Elói Mendes,,341.06,3.61,115.01,4,0.002529
São Gotardo,São Gotardo,,17.43,2.86,816.62,6,0.002021
Bicas,Bicas,,0,20.63,679.09,2,0.001777
Pequeri,Pequeri,,0,59.76,845.92,2,0.000644
Centralina,Centralina,,414.94,593.11,1755.4,6,0.000852
Bandeira do Sul,Bandeira do Sul,,17.62,0,17.5,4,0.000915
Goianá,Goianá,,0,75.91,1192.89,2,0.000687
Abaeté,Abaeté,,17,12.71,1735.35,6,0.001518
Sabinópolis,Sabinópolis,,0,6.28,83.74,0,0.001095
Capitólio,Capitólio,,69.67,0,953.38,4,0.001615
Lontra,Lontra,,33.56,55.29,3030.64,5,0.001411
Angelândia,Angelândia,,11.82,0,624.93,0,0.000303
Sobrália,Sobrália,,17.12,17.27,35.75,1,0.000752
Iraí de Minas,Iraí de Minas,,14.52,28.7,648.04,6,0.001127
Poço Fundo,Poço Fundo,,0,5.92,5.98,4,0.000684
Japonvar,Japonvar,,914.03,115.17,5025.71,5,0.001276
Couto de Magalhães de Minas,Couto de Magalhães de Minas,,747.96,0,1387.63,0,0.001618
Senador José Bento,Senador José Bento,,0,0,0,4,0.000408
Miradouro,Miradouro,,18.59,129.19,111.93,3,0.001224
Pratinha,Pratinha,,56.9,28.02,27.99,6,0.000311
Datas,Datas,,18.38,36.56,203.74,0,0.001151
Vargem Bonita,Vargem Bonita,,0,0,370.71,4,0.000465
Ritápolis,Ritápolis,,0,41.37,150.6,6,0.001002
Lagoa Dourada,Lagoa Dourada,,7.73,15.32,84.92,2,0.000859
Naque,Naque,,29.31,259.74,57.65,1,0.002582
Periquito,Periquito,,56.31,0,0,1,0.001784
Ewbank da Câmara,Ewbank da Câmara,,0,0,128.07,2,0.00041
Itamonte,Itamonte,,26.43,0,19.43,4,0.00048
Córrego Danta,Córrego Danta,,29.49,59.54,246.84,6,0.001237
Tapiraí,Tapiraí,,0,0,0,6,0.000946
São José da Varginha,São José da Varginha,,0,165.49,750.96,5,0.000931
Liberdade,Liberdade,,37.41,0,19.57,4,0.00063
Aguanil,Aguanil,,45.77,67.57,22.48,6,0.000551
São Geraldo da Piedade,São Geraldo da Piedade,,0,0,0,1,0.000246
Resplendor,Resplendor,,282.89,67.74,160.94,1,0.001039
Tabuleiro,Tabuleiro,,149.22,50.47,4905.06,2,0.001048
Guapé,Guapé,,6.94,0,309.14,4,0.000713
Cachoeira da Prata,Cachoeira da Prata,,80.62,26.95,884.96,5,0.001164
Pequi,Pequi,,115.15,1319.68,6394.15,5,0.000931
Ingaí,Ingaí,,36.18,0,0,4,0.000556
Santana do Riacho,Santana do Riacho,,187.88,116.25,1871.78,0,0.000523
Vespasiano,Vespasiano,,18.56,14.71,1620.72,0,0.000428
Divino das Laranjeiras,Divino das Laranjeiras,,1928.37,0,0,1,0.000929
Antônio Carlos,Antônio Carlos,,8.65,0,17.49,2,0.000472
Bias Fortes,Bias Fortes,,0,0,0,2,0.00062
Pedro Teixeira,Pedro Teixeira,,0,0,165.93,2,0.000384
Miraí,Miraí,,20.33,80.29,26.82,2,0.001008
Dores do Turvo,Dores do Turvo,,0,90.15,69.95,2,0.000563
Desterro de Entre Rios,Desterro de Entre Rios,,0,0,248.89,6,0.000693
Cana Verde,Cana Verde,,52.29,17.44,124.73,6,0.000908
São Domingos do Prata,São Domingos do Prata,,11.24,28.11,293.22,1,0.001427
Santo Hipólito,Santo Hipólito,,154.04,31.08,1576.07,5,0.000252
Silvianópolis,Silvianópolis,,0,15.84,0,4,0.000935
Turvolândia,Turvolândia,,0,0,59.9,4,0.000314
Padre Carvalho,Padre Carvalho,,16,15.78,4421.98,5,0.000461
Martinho Campos,Martinho Campos,,285.41,409.35,5618.9,6,0.001468
Janaúba,Janaúba,,273.68,2115.75,1220.8,5,0.002278
São José da Lapa,São José da Lapa,,13.48,78.57,2035.49,5,0.000402
Carmo do Paranaíba,Carmo do Paranaíba,,12.99,9.72,567.21,6,0.001004
Prata,Prata,,262.11,226.65,4893.82,6,0.000972
São Sebastião da Vargem Alegre,São Sebastião da Vargem Alegre,,0,66.53,33.43,2,0.000277
Carvalhos,Carvalhos,,0,0,22.25,4,0.000403
Santana do Deserto,Santana do Deserto,,0,0,176.28,2,0.000644
Ibiá,Ibiá,,32.28,23.9,475.33,6,0.00213
Presidente Olegário,Presidente Olegário,,10.27,71.43,2740.36,6,0.00091
Igarapé,Igarapé,,120.68,17.02,5498.75,6,0.001515
Espírito Santo do Dourado,Espírito Santo do Dourado,,21.41,0,42.8,4,0.00028
Morada Nova de Minas,Morada Nova de Minas,,171.15,282.17,1656.27,5,0.000807
Três Marias,Três Marias,,80.57,362.92,3242.25,5,0.001942
Santana de Pirapama,Santana de Pirapama,,62.25,0,792.62,0,0.000612
Coimbra,Coimbra,,0,26.46,159.64,2,0.001699
Gouveia,Gouveia,,0,0,0,0,0.001532
Santana do Jacaré,Santana do Jacaré,,0,61.72,62.41,4,0.000316
Lagoa Formosa,Lagoa Formosa,,44.35,0,1739.76,6,0.000861
Paraopeba,Paraopeba,,219.83,73.69,484.1,5,0.004718
Pompéu,Pompéu,,163.58,88.57,1725.61,6,0.001545
Vieiras,Vieiras,,0,0,27.56,3,0.000425
Entre Rios de Minas,Entre Rios de Minas,,0,19.62,262.92,2,0.000944
Piedade do Rio Grande,Piedade do Rio Grande,,0,0,44.17,4,0.000662
Carmópolis de Minas,Carmópolis de Minas,,48.34,31.59,2110.32,6,0.001652
Barra Longa,Barra Longa,,0,17.78,19.05,3,0.000263
Josenópolis,Josenópolis,,0,0,61.93,5,0.000461
Minduri,Minduri,,0,0,0,4,0.001173
Santa Cruz do Escalvado,Santa Cruz do Escalvado,,0,0,83.46,3,0.000263
Rochedo de Minas,Rochedo de Minas,,0,87.22,655.31,2,0.000494
Nepomuceno,Nepomuceno,,37.18,44.36,2452.36,4,0.001294
Maripá de Minas,Maripá de Minas,,0,67.14,135.18,2,0.000681
Monte Sião,Monte Sião,,0,4.27,568.54,4,0.000637
Bertópolis,Bertópolis,,0,0,152.11,1,0.001088
Recreio,Recreio,,299.99,28.05,551.65,2,0.000848
Santa Bárbara do Tugúrio,Santa Bárbara do Tugúrio,,0,0,0,2,0.001164
Araguari,Araguari,,26.66,45.13,1892.18,6,0.001397
Divisa Nova,Divisa Nova,,530.59,329.6,100.07,4,0.000405
Paineiras,Paineiras,,42.76,193.55,1685.14,5,0.000606
Guarará,Guarará,,25.23,25.39,209.53,2,0.000495
Santo Antônio do Grama,Santo Antônio do Grama,,0,0,457.2,3,0.000263
Arapuá,Arapuá,,0,34.69,1411.93,6,0.000726
Rio Preto,Rio Preto,,0,0,18.29,2,0.000392
Biquinhas,Biquinhas,,113.64,76.37,78.99,5,0.000606
Campestre,Campestre,,0,4.66,9.5,4,0.001032
Pedra do Indaiá,Pedra do Indaiá,,24.87,24.79,277.15,6,0.00084
Senador Modestino Gonçalves,Senador Modestino Gonçalves,,0,0,118.79,0,0.001117
Cláudio,Cláudio,,43.12,17.68,313.76,6,0.0008
Veredinha,Veredinha,,0,0,17.51,0,0.001183
Cachoeira Dourada,Cachoeira Dourada,,789.18,445.93,1195.37,6,0.000605
Buenópolis,Buenópolis,,18.89,84.95,1830.97,5,0.002284
São João do Manteninha,São João do Manteninha,,35.4,0,431.18,1,0.000929
Francisco Dumont,Francisco Dumont,,0,19.18,3643.72,5,0.000316
Central de Minas,Central de Minas,,226.24,28.12,0,1,0.000929
Urucuia,Urucuia,,6.43,18.64,1873.45,5,0.001162
Veríssimo,Veríssimo,,26.14,76.71,6023.79,6,0.000258
Pimenta,Pimenta,,69.32,34.4,7264.51,4,0.000958
Santa Rita de Ibitipoca,Santa Rita de Ibitipoca,,0,0,0,4,0.000358
Coromandel,Coromandel,,24.6,24.55,982.77,6,0.001424
Onça de Pitangui,Onça de Pitangui,,31.46,31.33,604.33,6,0.000564
São Joaquim de Bicas,São Joaquim de Bicas,,92.59,19.89,4569.36,6,0.000852
Capinópolis,Capinópolis,,242.06,769.23,2216.15,6,0.000733
Senhora dos Remédios,Senhora dos Remédios,,9.45,0,57.41,2,0.000422
Seritinga,Seritinga,,53.62,53.36,0,4,0.000403
Olaria,Olaria,,52.27,0,56.34,4,0.001351
Medeiros,Medeiros,,0,0,344.74,6,0.000749
Augusto de Lima,Augusto de Lima,,19.84,39.82,3866.61,5,0.001986
Salto da Divisa,Salto da Divisa,,281.41,42.09,0,1,0.001091
Matutina,Matutina,,0,26,106.44,6,0.000446
Riacho dos Machados,Riacho dos Machados,,10.35,41.36,284.6,5,0.000261
Jaíba,Jaíba,,8.1,23.72,80.7,5,0.000737
Acaiaca,Acaiaca,,0,73.8,0,3,0.000263
Carmo da Mata,Carmo da Mata,,26.14,17.3,113.65,6,0.001356
São Francisco de Sales,São Francisco de Sales,,81.3,64.27,2693.55,6,0.000811
Patrocínio do Muriaé,Patrocínio do Muriaé,,17.8,0,1539.28,3,0.00036
Piedade de Ponte Nova,Piedade de Ponte Nova,,0,308.57,652.17,3,0.000263
Unaí,Unaí,,256.98,708.5,3991.27,5,0.001781
Cordisburgo,Cordisburgo,,11.11,11.08,1058.2,5,0.000752
São José da Barra,São José da Barra,,123.8,0,501.97,4,0.000497
Santa Rita de Jacutinga,Santa Rita de Jacutinga,,0,0,20.39,4,0.000479
Campo Florido,Campo Florido,,91.21,76.08,1295.3,6,0.000779
Conceição das Alagoas,Conceição das Alagoas,,172.96,626.44,1648.13,6,0.000811
Várzea da Palma,Várzea da Palma,,36.33,38.34,3653.03,5,0.000667
Madre de Deus de Minas,Madre de Deus de Minas,,0,0,0,4,0.001055
Tiros,Tiros,,29.11,0,152.93,6,0.000446
Belo Vale,Belo Vale,,12.79,204.06,1063.55,0,0.000318
Alagoa,Alagoa,,0,0,74.54,4,0.000463
Passa Tempo,Passa Tempo,,23.95,0,295.86,6,0.000664
Natalândia,Natalândia,,29.59,0,875.08,5,0.000266
Guarda-Mor,Guarda-Mor,,44.52,222.68,6584.74,6,0.001302
Rosário da Limeira,Rosário da Limeira,,44.2,21.83,43.8,2,0.000251
Araçaí,Araçaí,,0,42.23,469.88,5,0.000607
Mathias Lobato,Mathias Lobato,,88.94,0,30.99,1,0.000246
Canápolis,Canápolis,,499.79,709.75,2162.16,6,0.000528
Carmo da Cachoeira,Carmo da Cachoeira,,48.77,24.29,0,4,0.000967
Mendes Pimentel,Mendes Pimentel,,0,0,0,1,0.000385
Congonhas do Norte,Congonhas do Norte,,0,0,19.83,0,0.000276
Lassance,Lassance,,45.02,120.05,2545.23,5,0.000811
Pirajuba,Pirajuba,,361.4,328.15,3888.15,6,0.000565
Vazante,Vazante,,19.37,211.7,3515.61,6,0.000789
Santo Antônio do Monte,Santo Antônio do Monte,,14.41,24.9,766.38,6,0.000705
Conceição da Barra de Minas,Conceição da Barra de Minas,,0,49.38,75.72,2,0.000251
Novorizonte,Novorizonte,,0,0,227.57,5,0.000265
Lagamar,Lagamar,,12.82,12.83,1756.92,6,0.000561
Varjão de Minas,Varjão de Minas,,44.37,28.79,961.67,6,0.00072
Conquista,Conquista,,145.03,201.15,2417.49,6,0.000332
"Água Comprida",Água Comprida,,193.8,242.95,2094.76,6,0.000258
Ponto Chique,Ponto Chique,,0,986.15,1203.68,5,0.00033
Tapira,Tapira,,22.02,0,21.23,6,0.000246
Ibiaí,Ibiaí,,12.03,35.71,1903.96,5,0.00033
José Gonçalves de Minas,José Gonçalves de Minas,,0,0,2369.35,0,0.000393
Grupiara,Grupiara,,282.49,0,7343.41,6,0.000255
Cabeceira Grande,Cabeceira Grande,,87.45,86.46,2084.24,5,0.000266
Formoso,Formoso,,22.06,0,561.98,5,0.000263
Serranópolis de Minas,Serranópolis de Minas,,42.44,83.88,105.22,5,0.000261
Guaraciama,Guaraciama,,100.77,1679.66,2563.58,5,0.000246
Francisco Badaró,Francisco Badaró,,0,9.47,2020.69,0,0.000315
Santana do Garambéu,Santana do Garambéu,,0,0,0,2,0.000254
