Id,Label,timeset,modularity_class,pageranks
Perdőes,Perdőes,,6,0.004562
Tręs Pontas,Tręs Pontas,,2,0.0016
Comendador Gomes,Comendador Gomes,,6,0.000743
Planura,Planura,,6,0.001347
Mariana,Mariana,,3,0.0028
Antônio Dias,Antônio Dias,,3,0.000541
Matipó,Matipó,,3,0.001169
Fervedouro,Fervedouro,,3,0.002497
Cordislândia,Cordislândia,,1,0.000644
Machado,Machado,,2,0.001943
Piranga,Piranga,,5,0.001038
Presidente Bernardes,Presidente Bernardes,,5,0.000423
Jaguaraçu,Jaguaraçu,,3,0.000403
Santa Maria de Itabira,Santa Maria de Itabira,,4,0.002687
Virgínia,Virgínia,,1,0.00053
Ibertioga,Ibertioga,,1,0.000735
Itumirim,Itumirim,,6,0.000491
Nazareno,Nazareno,,6,0.000864
Jacuí,Jacuí,,2,0.000255
Rio Piracicaba,Rio Piracicaba,,3,0.000792
Jequitinhonha,Jequitinhonha,,3,0.002274
Alterosa,Alterosa,,2,0.001307
Botelhos,Botelhos,,2,0.00115
"Águas Formosas",Águas Formosas,,3,0.0016
Bonito de Minas,Bonito de Minas,,0,0.000253
Dom Silvério,Dom Silvério,,3,0.001009
Sem-Peixe,Sem-Peixe,,3,0.000277
Santana dos Montes,Santana dos Montes,,5,0.000432
Cascalho Rico,Cascalho Rico,,6,0.00025
Joăo Pinheiro,Joăo Pinheiro,,0,0.00195
Nova Era,Nova Era,,3,0.003815
Caraí,Caraí,,3,0.000311
Catuji,Catuji,,3,0.001678
Conceiçăo do Rio Verde,Conceiçăo do Rio Verde,,1,0.00054
José Raydan,José Raydan,,4,0.001349
Peçanha,Peçanha,,4,0.001038
Săo Francisco do Glória,Săo Francisco do Glória,,3,0.000583
Abadia dos Dourados,Abadia dos Dourados,,6,0.000855
Romaria,Romaria,,6,0.000789
Alvarenga,Alvarenga,,3,0.000396
Conselheiro Pena,Conselheiro Pena,,3,0.001451
Săo Joăo del Rei,Săo Joăo del Rei,,1,0.004559
Pains,Pains,,6,0.000473
Conceiçăo da Aparecida,Conceiçăo da Aparecida,,2,0.001165
Paraisópolis,Paraisópolis,,1,0.001623
Campanha,Campanha,,1,0.001311
Ipiaçu,Ipiaçu,,6,0.000455
Ituiutaba,Ituiutaba,,6,0.002282
Itinga,Itinga,,3,0.000946
Botumirim,Botumirim,,0,0.000441
Francisco Sá,Francisco Sá,,0,0.001682
Bambuí,Bambuí,,6,0.002314
Canaă,Canaă,,5,0.000605
Bela Vista de Minas,Bela Vista de Minas,,3,0.001098
Brás Pires,Brás Pires,,5,0.00084
Senhora de Oliveira,Senhora de Oliveira,,5,0.000934
Carmo do Cajuru,Carmo do Cajuru,,6,0.000633
Catas Altas da Noruega,Catas Altas da Noruega,,5,0.001248
Conceiçăo de Ipanema,Conceiçăo de Ipanema,,3,0.000681
Săo Geraldo,Săo Geraldo,,5,0.001157
Tiradentes,Tiradentes,,5,0.000693
Morro do Pilar,Morro do Pilar,,4,0.000824
Coluna,Coluna,,4,0.001476
Passa Quatro,Passa Quatro,,1,0.000946
Bonfim,Bonfim,,0,0.001516
Ibirité,Ibirité,,0,0.00058
Igaratinga,Igaratinga,,6,0.000703
Santos Dumont,Santos Dumont,,5,0.001921
Bueno Brandăo,Bueno Brandăo,,1,0.000415
Rio Espera,Rio Espera,,5,0.000709
Palma,Palma,,5,0.000465
Ressaquinha,Ressaquinha,,5,0.001333
Pedras de Maria da Cruz,Pedras de Maria da Cruz,,0,0.001649
Săo Romăo,Săo Romăo,,0,0.000468
Ipaba,Ipaba,,3,0.000495
Frei Inocęncio,Frei Inocęncio,,3,0.002985
Jampruca,Jampruca,,3,0.000307
Uniăo de Minas,Uniăo de Minas,,6,0.00031
Durandé,Durandé,,3,0.001182
Toledo,Toledo,,1,0.000624
Capetinga,Capetinga,,2,0.000491
Paracatu,Paracatu,,6,0.002353
Santa Cruz de Salinas,Santa Cruz de Salinas,,3,0.000344
Santa Maria do Suaçuí,Santa Maria do Suaçuí,,4,0.001409
Bocaiúva,Bocaiúva,,0,0.00331
Lagoa Grande,Lagoa Grande,,6,0.000406
Engenheiro Navarro,Engenheiro Navarro,,0,0.001242
Bom Despacho,Bom Despacho,,6,0.002161
Camacho,Camacho,,6,0.000258
Itapecerica,Itapecerica,,6,0.001436
Pingo-d'Água,Pingo-d'Água,,3,0.000588
Carvalhópolis,Carvalhópolis,,1,0.000644
Săo Gonçalo do Sapucaí,Săo Gonçalo do Sapucaí,,1,0.001616
Prados,Prados,,5,0.001007
Santa Bárbara do Leste,Santa Bárbara do Leste,,3,0.001953
Dores de Campos,Dores de Campos,,5,0.001064
Aiuruoca,Aiuruoca,,1,0.00171
Andrelândia,Andrelândia,,1,0.001443
Senhora do Porto,Senhora do Porto,,4,0.002199
Arantina,Arantina,,1,0.000709
Bom Jardim de Minas,Bom Jardim de Minas,,1,0.00156
Indianópolis,Indianópolis,,6,0.00056
Itabirito,Itabirito,,3,0.002109
Araporă,Araporă,,6,0.000397
Tupaciguara,Tupaciguara,,6,0.0005
Ataléia,Ataléia,,3,0.000246
Crisólita,Crisólita,,3,0.001433
Crucilândia,Crucilândia,,0,0.00134
Sarzedo,Sarzedo,,0,0.00058
Cuparaque,Cuparaque,,3,0.000459
Goiabeira,Goiabeira,,3,0.000459
Joaíma,Joaíma,,3,0.000862
Ilicínea,Ilicínea,,2,0.00075
Dom Cavati,Dom Cavati,,3,0.002656
Itaúna,Itaúna,,6,0.002281
Sardoá,Sardoá,,4,0.00106
Săo Joăo Evangelista,Săo Joăo Evangelista,,4,0.002354
Santo Antônio do Amparo,Santo Antônio do Amparo,,2,0.002493
Ipuiúna,Ipuiúna,,2,0.000731
Campina Verde,Campina Verde,,6,0.001063
Cajuri,Cajuri,,5,0.000262
Conceiçăo do Pará,Conceiçăo do Pará,,6,0.000942
Pitangui,Pitangui,,6,0.001225
Consolaçăo,Consolaçăo,,1,0.000467
Dom Joaquim,Dom Joaquim,,4,0.00081
Maravilhas,Maravilhas,,0,0.001274
Papagaios,Papagaios,,0,0.001264
Mirabela,Mirabela,,0,0.002143
Luminárias,Luminárias,,1,0.000556
Nova Ponte,Nova Ponte,,6,0.001492
Areado,Areado,,2,0.001852
Guaraciaba,Guaraciaba,,5,0.000418
Curral de Dentro,Curral de Dentro,,3,0.000928
Engenheiro Caldas,Engenheiro Caldas,,3,0.002076
Fernandes Tourinho,Fernandes Tourinho,,3,0.00068
Săo Gonçalo do Rio Abaixo,Săo Gonçalo do Rio Abaixo,,3,0.001538
Carbonita,Carbonita,,4,0.001891
Itaverava,Itaverava,,5,0.001248
Córrego Novo,Córrego Novo,,3,0.000359
Cristais,Cristais,,6,0.000551
Santa Luzia,Santa Luzia,,0,0.000387
Bom Jesus do Amparo,Bom Jesus do Amparo,,0,0.000444
Carmésia,Carmésia,,4,0.000638
Alvorada de Minas,Alvorada de Minas,,4,0.000979
Conceiçăo do Mato Dentro,Conceiçăo do Mato Dentro,,4,0.001219
Iguatama,Iguatama,,6,0.002114
Brazópolis,Brazópolis,,1,0.000797
Mário Campos,Mário Campos,,0,0.00058
Inimutaba,Inimutaba,,4,0.000921
Frutal,Frutal,,6,0.00205
Itapagipe,Itapagipe,,6,0.000932
Itamogi,Itamogi,,2,0.000793
Lima Duarte,Lima Duarte,,1,0.001625
Santa Bárbara do Monte Verde,Santa Bárbara do Monte Verde,,5,0.000495
Itambacuri,Itambacuri,,3,0.002583
Medina,Medina,,3,0.001494
Caldas,Caldas,,2,0.000731
Ervália,Ervália,,5,0.000859
Fortaleza de Minas,Fortaleza de Minas,,2,0.000256
Cambuquira,Cambuquira,,1,0.002395
Cantagalo,Cantagalo,,4,0.000734
Cruzeiro da Fortaleza,Cruzeiro da Fortaleza,,6,0.000337
Guimarânia,Guimarânia,,6,0.000819
Mateus Leme,Mateus Leme,,6,0.001397
Rio Pomba,Rio Pomba,,5,0.002918
Silveirânia,Silveirânia,,5,0.000249
Santo Antônio do Jacinto,Santo Antônio do Jacinto,,0,0.000435
Curvelo,Curvelo,,0,0.00473
Piraúba,Piraúba,,5,0.00195
Itamarandiba,Itamarandiba,,4,0.00232
Caetanópolis,Caetanópolis,,0,0.000541
Jesuânia,Jesuânia,,1,0.001155
Ibituruna,Ibituruna,,6,0.000598
Luz,Luz,,6,0.002978
Olímpio Noronha,Olímpio Noronha,,1,0.001087
Campos Gerais,Campos Gerais,,2,0.001422
Coqueiral,Coqueiral,,2,0.000802
Jaboticatubas,Jaboticatubas,,0,0.000247
Itacambira,Itacambira,,0,0.000612
Alpercata,Alpercata,,3,0.001393
Monsenhor Paulo,Monsenhor Paulo,,1,0.000337
Săo Bento Abade,Săo Bento Abade,,1,0.000657
Delfinópolis,Delfinópolis,,2,0.000504
Doresópolis,Doresópolis,,2,0.000332
Frei Gaspar,Frei Gaspar,,3,0.000428
Leandro Ferreira,Leandro Ferreira,,6,0.000812
Rio Paranaíba,Rio Paranaíba,,6,0.001222
Paraguaçu,Paraguaçu,,2,0.002115
Felixlândia,Felixlândia,,0,0.001102
Galiléia,Galiléia,,3,0.000963
Guarani,Guarani,,5,0.001338
Argirita,Argirita,,5,0.000788
Porto Firme,Porto Firme,,5,0.001207
Rio Novo,Rio Novo,,5,0.001044
Santa Vitória,Santa Vitória,,6,0.000425
Mutum,Mutum,,3,0.000773
Indaiabira,Indaiabira,,0,0.000674
Săo Vicente de Minas,Săo Vicente de Minas,,1,0.001443
Serra Azul de Minas,Serra Azul de Minas,,4,0.000767
Săo Joăo da Mata,Săo Joăo da Mata,,2,0.000684
Săo Pedro dos Ferros,Săo Pedro dos Ferros,,3,0.000904
Serrania,Serrania,,2,0.000492
Aricanduva,Aricanduva,,4,0.000243
Congonhal,Congonhal,,2,0.000902
Dores do Indaiá,Dores do Indaiá,,6,0.001304
Quartel Geral,Quartel Geral,,6,0.00062
Glaucilândia,Glaucilândia,,0,0.000528
Heliodora,Heliodora,,1,0.000686
Itueta,Itueta,,3,0.000979
Santa Rita do Itueto,Santa Rita do Itueto,,3,0.000331
Montezuma,Montezuma,,0,0.000504
Ninheira,Ninheira,,0,0.000264
Săo Joăo do Paraíso,Săo Joăo do Paraíso,,0,0.001162
Ouro Verde de Minas,Ouro Verde de Minas,,3,0.000428
Tumiritinga,Tumiritinga,,3,0.000246
Urucânia,Urucânia,,3,0.000927
Cristina,Cristina,,1,0.001051
Dom Viçoso,Dom Viçoso,,1,0.000264
Santa Efigęnia de Minas,Santa Efigęnia de Minas,,4,0.00106
Olhos-d'Água,Olhos-d'Água,,4,0.001254
Joanésia,Joanésia,,4,0.000649
Gurinhată,Gurinhată,,6,0.00027
Fortuna de Minas,Fortuna de Minas,,0,0.000693
Inhaúma,Inhaúma,,0,0.000979
Monte Carmelo,Monte Carmelo,,6,0.001716
Campanário,Campanário,,3,0.002401
Mercęs,Mercęs,,5,0.001479
Fronteira,Fronteira,,6,0.000564
Piedade dos Gerais,Piedade dos Gerais,,0,0.000813
Presidente Juscelino,Presidente Juscelino,,4,0.00132
Presidente Kubitschek,Presidente Kubitschek,,4,0.000846
Moeda,Moeda,,0,0.000339
Catas Altas,Catas Altas,,3,0.001055
Berizal,Berizal,,0,0.000265
Joaquim Felício,Joaquim Felício,,0,0.001128
Paiva,Paiva,,5,0.00047
Estrela do Sul,Estrela do Sul,,6,0.001236
Moema,Moema,,6,0.001489
Elói Mendes,Elói Mendes,,2,0.002529
Săo Gotardo,Săo Gotardo,,6,0.002021
Bicas,Bicas,,5,0.001777
Pequeri,Pequeri,,5,0.000644
Centralina,Centralina,,6,0.000852
Bandeira do Sul,Bandeira do Sul,,2,0.000915
Goianá,Goianá,,5,0.000687
Abaeté,Abaeté,,6,0.001518
Sabinópolis,Sabinópolis,,4,0.001095
Capitólio,Capitólio,,2,0.001615
Lontra,Lontra,,0,0.001411
Angelândia,Angelândia,,4,0.000303
Sobrália,Sobrália,,3,0.000752
Iraí de Minas,Iraí de Minas,,6,0.001127
Poço Fundo,Poço Fundo,,2,0.000684
Japonvar,Japonvar,,0,0.001276
Couto de Magalhăes de Minas,Couto de Magalhăes de Minas,,4,0.001618
Senador José Bento,Senador José Bento,,2,0.000408
Miradouro,Miradouro,,3,0.001224
Pratinha,Pratinha,,6,0.000311
Datas,Datas,,4,0.001151
Vargem Bonita,Vargem Bonita,,2,0.000465
Ritápolis,Ritápolis,,6,0.001002
Lagoa Dourada,Lagoa Dourada,,5,0.000859
Naque,Naque,,3,0.002582
Periquito,Periquito,,3,0.001784
Ewbank da Câmara,Ewbank da Câmara,,5,0.00041
Itamonte,Itamonte,,1,0.00048
Córrego Danta,Córrego Danta,,6,0.001237
Tapiraí,Tapiraí,,6,0.000946
Săo José da Varginha,Săo José da Varginha,,0,0.000931
Liberdade,Liberdade,,1,0.00063
Aguanil,Aguanil,,6,0.000551
Săo Geraldo da Piedade,Săo Geraldo da Piedade,,3,0.000246
Resplendor,Resplendor,,3,0.001039
Tabuleiro,Tabuleiro,,5,0.001048
Guapé,Guapé,,2,0.000713
Cachoeira da Prata,Cachoeira da Prata,,0,0.001164
Pequi,Pequi,,0,0.000931
Ingaí,Ingaí,,1,0.000556
Santana do Riacho,Santana do Riacho,,4,0.000523
Vespasiano,Vespasiano,,4,0.000428
Divino das Laranjeiras,Divino das Laranjeiras,,3,0.000929
Antônio Carlos,Antônio Carlos,,5,0.000472
Bias Fortes,Bias Fortes,,5,0.00062
Pedro Teixeira,Pedro Teixeira,,5,0.000384
Miraí,Miraí,,5,0.001008
Dores do Turvo,Dores do Turvo,,5,0.000563
Desterro de Entre Rios,Desterro de Entre Rios,,6,0.000693
Cana Verde,Cana Verde,,6,0.000908
Săo Domingos do Prata,Săo Domingos do Prata,,3,0.001427
Santo Hipólito,Santo Hipólito,,0,0.000252
Silvianópolis,Silvianópolis,,2,0.000935
Turvolândia,Turvolândia,,2,0.000314
Padre Carvalho,Padre Carvalho,,0,0.000461
Martinho Campos,Martinho Campos,,6,0.001468
Janaúba,Janaúba,,0,0.002278
Săo José da Lapa,Săo José da Lapa,,0,0.000402
Carmo do Paranaíba,Carmo do Paranaíba,,6,0.001004
Prata,Prata,,6,0.000972
Săo Sebastiăo da Vargem Alegre,Săo Sebastiăo da Vargem Alegre,,5,0.000277
Carvalhos,Carvalhos,,1,0.000403
Santana do Deserto,Santana do Deserto,,5,0.000644
Ibiá,Ibiá,,6,0.00213
Presidente Olegário,Presidente Olegário,,6,0.00091
Igarapé,Igarapé,,6,0.001515
Espírito Santo do Dourado,Espírito Santo do Dourado,,1,0.00028
Morada Nova de Minas,Morada Nova de Minas,,6,0.000807
Tręs Marias,Tręs Marias,,0,0.001942
Santana de Pirapama,Santana de Pirapama,,0,0.000612
Coimbra,Coimbra,,5,0.001699
Gouveia,Gouveia,,4,0.001532
Santana do Jacaré,Santana do Jacaré,,2,0.000316
Lagoa Formosa,Lagoa Formosa,,6,0.000861
Paraopeba,Paraopeba,,0,0.004718
Pompéu,Pompéu,,6,0.001545
Vieiras,Vieiras,,3,0.000425
Entre Rios de Minas,Entre Rios de Minas,,5,0.000944
Piedade do Rio Grande,Piedade do Rio Grande,,1,0.000662
Carmópolis de Minas,Carmópolis de Minas,,6,0.001652
Barra Longa,Barra Longa,,3,0.000263
Josenópolis,Josenópolis,,0,0.000461
Minduri,Minduri,,1,0.001173
Santa Cruz do Escalvado,Santa Cruz do Escalvado,,3,0.000263
Rochedo de Minas,Rochedo de Minas,,5,0.000494
Nepomuceno,Nepomuceno,,2,0.001294
Maripá de Minas,Maripá de Minas,,5,0.000681
Monte Siăo,Monte Siăo,,1,0.000637
Bertópolis,Bertópolis,,3,0.001088
Recreio,Recreio,,5,0.000848
Santa Bárbara do Tugúrio,Santa Bárbara do Tugúrio,,5,0.001164
Araguari,Araguari,,6,0.001397
Divisa Nova,Divisa Nova,,2,0.000405
Paineiras,Paineiras,,6,0.000606
Guarará,Guarará,,5,0.000495
Santo Antônio do Grama,Santo Antônio do Grama,,3,0.000263
Arapuá,Arapuá,,6,0.000726
Rio Preto,Rio Preto,,5,0.000392
Biquinhas,Biquinhas,,6,0.000606
Campestre,Campestre,,2,0.001032
Pedra do Indaiá,Pedra do Indaiá,,6,0.00084
Senador Modestino Gonçalves,Senador Modestino Gonçalves,,4,0.001117
Cláudio,Cláudio,,6,0.0008
Veredinha,Veredinha,,4,0.001183
Cachoeira Dourada,Cachoeira Dourada,,6,0.000605
Buenópolis,Buenópolis,,0,0.002284
Săo Joăo do Manteninha,Săo Joăo do Manteninha,,3,0.000929
Francisco Dumont,Francisco Dumont,,0,0.000316
Central de Minas,Central de Minas,,3,0.000929
Urucuia,Urucuia,,0,0.001162
Veríssimo,Veríssimo,,6,0.000258
Pimenta,Pimenta,,2,0.000958
Santa Rita de Ibitipoca,Santa Rita de Ibitipoca,,1,0.000358
Coromandel,Coromandel,,6,0.001424
Onça de Pitangui,Onça de Pitangui,,6,0.000564
Săo Joaquim de Bicas,Săo Joaquim de Bicas,,6,0.000852
Capinópolis,Capinópolis,,6,0.000733
Senhora dos Remédios,Senhora dos Remédios,,5,0.000422
Seritinga,Seritinga,,1,0.000403
Olaria,Olaria,,1,0.001351
Medeiros,Medeiros,,6,0.000749
Augusto de Lima,Augusto de Lima,,0,0.001986
Salto da Divisa,Salto da Divisa,,3,0.001091
Matutina,Matutina,,6,0.000446
Riacho dos Machados,Riacho dos Machados,,0,0.000261
Jaíba,Jaíba,,0,0.000737
Acaiaca,Acaiaca,,3,0.000263
Carmo da Mata,Carmo da Mata,,6,0.001356
Săo Francisco de Sales,Săo Francisco de Sales,,6,0.000811
Patrocínio do Muriaé,Patrocínio do Muriaé,,3,0.00036
Piedade de Ponte Nova,Piedade de Ponte Nova,,3,0.000263
Unaí,Unaí,,0,0.001781
Cordisburgo,Cordisburgo,,0,0.000752
Săo José da Barra,Săo José da Barra,,2,0.000497
Santa Rita de Jacutinga,Santa Rita de Jacutinga,,1,0.000479
Campo Florido,Campo Florido,,6,0.000779
Conceiçăo das Alagoas,Conceiçăo das Alagoas,,6,0.000811
Várzea da Palma,Várzea da Palma,,0,0.000667
Madre de Deus de Minas,Madre de Deus de Minas,,1,0.001055
Tiros,Tiros,,6,0.000446
Belo Vale,Belo Vale,,0,0.000318
Alagoa,Alagoa,,1,0.000463
Passa Tempo,Passa Tempo,,6,0.000664
Natalândia,Natalândia,,0,0.000266
Guarda-Mor,Guarda-Mor,,6,0.001302
Rosário da Limeira,Rosário da Limeira,,5,0.000251
Araçaí,Araçaí,,0,0.000607
Mathias Lobato,Mathias Lobato,,3,0.000246
Canápolis,Canápolis,,6,0.000528
Carmo da Cachoeira,Carmo da Cachoeira,,2,0.000967
Mendes Pimentel,Mendes Pimentel,,3,0.000385
Congonhas do Norte,Congonhas do Norte,,4,0.000276
Lassance,Lassance,,0,0.000811
Pirajuba,Pirajuba,,6,0.000565
Vazante,Vazante,,6,0.000789
Santo Antônio do Monte,Santo Antônio do Monte,,6,0.000705
Conceiçăo da Barra de Minas,Conceiçăo da Barra de Minas,,1,0.000251
Novorizonte,Novorizonte,,0,0.000265
Lagamar,Lagamar,,6,0.000561
Varjăo de Minas,Varjăo de Minas,,6,0.00072
Conquista,Conquista,,6,0.000332
"Água Comprida",Água Comprida,,6,0.000258
Ponto Chique,Ponto Chique,,0,0.00033
Tapira,Tapira,,6,0.000246
Ibiaí,Ibiaí,,0,0.00033
José Gonçalves de Minas,José Gonçalves de Minas,,3,0.000393
Grupiara,Grupiara,,6,0.000255
Cabeceira Grande,Cabeceira Grande,,0,0.000266
Formoso,Formoso,,0,0.000263
Serranópolis de Minas,Serranópolis de Minas,,0,0.000261
Guaraciama,Guaraciama,,0,0.000246
Francisco Badaró,Francisco Badaró,,3,0.000315
Santana do Garambéu,Santana do Garambéu,,5,0.000254
